This data is a reformatted version of this data
https://www-nds.iaea.org/amdc/ame2016/mass16.txt
obtained from https://www-nds.iaea.org/amdc/
excluding theoretical values.
KEY:
N - Number of neutrons
Z - Number of protons
A - Atomic mass number
EL - Element label
DEL_M (keV) - Mass excess in keV
BE/A (keV) - Binding energy per nucleon in keV
Mass (mu-u) - Atomic mass in millionths of a standard atomic mass unit (Dalton)
------------------------------------------------
N,Z,A,EL,DEL_M (keV),BE/A (keV),Mass (mu-u)
30,22,52,Ti,-49469.82,8691.667,51946891.96
29,23,52,V,-51443.769,8714.582,51944772.84
28,24,52,Cr,-55419.242,8775.989,51940504.99
27,25,52,Mn,-50707.284,8670.329,51945563.49
26,26,52,Fe,-48330.363,8609.574,51948115.22
25,27,52,Co,-34360.951,8325.886,51963112
34,19,53,K,-12295.721,8022.848,52986800
33,20,53,Ca,-29387.704,8330.577,52968451
32,21,53,Sc,-38906.808,8495.421,52958231.82
31,22,53,Ti,-46831.061,8630.174,52949724.79
30,23,53,V,-51851.061,8710.13,52944335.59
29,24,53,Cr,-55286.999,8760.198,52940646.96
28,25,53,Mn,-54690.116,8734.175,52941287.74
27,26,53,Fe,-50947.53,8648.799,52945305.57
26,27,53,Co,-42659.428,8477.658,52954203.22
25,28,53,Ni,-29630.824,8217.074,52968190
34,20,54,Ca,-25160.585,8247.496,53972989
33,21,54,Sc,-33890.9,8394.681,53963616.62
32,22,54,Ti,-45621.981,8597.435,53951022.79
31,23,54,V,-49893.173,8662.043,53946437.47
30,24,54,Cr,-56934.765,8777.955,53938878.01
29,25,54,Mn,-55557.629,8737.965,53940356.43
28,26,54,Fe,-56254.5,8736.382,53939608.31
27,27,54,Co,-48009.953,8569.217,53948459.19
26,28,54,Ni,-39278.308,8393.032,53957833
34,21,55,Sc,-30159.352,8320.955,54967622.6
33,22,55,Ti,-41668.088,8515.98,54955267.47
32,23,55,V,-49144.586,8637.692,54947241.11
31,24,55,Cr,-55109.71,8731.924,54940837.29
30,25,55,Mn,-57712.413,8765.022,54938043.17
29,26,55,Fe,-57481.3,8746.595,54938291.28
28,27,55,Co,-54029.883,8669.618,54941996.53
27,28,55,Ni,-45335.849,8497.32,54951329.96
26,29,55,Cu,-31635.399,8233.996,54966038
35,21,56,Sc,-24852.26,8221.728,55973320
34,22,56,Ti,-39320.048,8466.11,55957788.19
33,23,56,V,-46154.881,8574.191,55950450.69
32,24,56,Cr,-55285.001,8723.258,55940649.11
31,25,56,Mn,-56911.538,8738.333,55938902.95
30,26,56,Fe,-60607.082,8790.354,55934935.62
29,27,56,Co,-56040.402,8694.836,55939838.15
28,28,56,Ni,-53907.539,8642.779,55942127.87
27,29,56,Cu,-38643.029,8356.227,55958515
36,21,57,Sc,-20995.875,8151.433,56977460
35,22,57,Ti,-33915.633,8364.37,56963590.07
34,23,57,V,-44413.45,8534.817,56952320.2
33,24,57,Cr,-52524.702,8663.394,56943612.41
32,25,57,Mn,-57486.251,8736.713,56938285.97
31,26,57,Fe,-60181.839,8770.279,56935392.13
30,27,57,Co,-59345.564,8741.882,56936289.91
29,28,57,Ni,-56083.833,8670.933,56939791.53
28,29,57,Cu,-47308.886,8503.262,56949211.82
35,23,58,V,-40401.753,8457.658,57956626.93
34,24,58,Cr,-51991.801,8643.998,57944184.5
33,25,58,Mn,-55827.56,8696.643,57940066.65
32,26,58,Fe,-62155.113,8792.25,57933273.74
31,27,58,Co,-59847.158,8738.969,57935751.43
30,28,58,Ni,-60228.744,8732.059,57935341.78
29,29,58,Cu,-51667.725,8570.967,57944532.41
28,30,58,Zn,-42298.744,8395.944,57954590.43
36,23,59,V,-37832.015,8407.555,58959385.66
35,24,59,Cr,-48085.76,8568.087,58948377.81
34,25,59,Mn,-55525.32,8680.921,58940391.11
33,26,59,Fe,-60664.805,8754.771,58934873.65
32,27,59,Co,-62229.709,8768.035,58933193.66
31,28,59,Ni,-61156.707,8736.588,58934345.57
30,29,59,Cu,-56358.327,8642,58939496.84
29,30,59,Zn,-47215.551,8473.777,58949312.02
37,23,60,V,-33241.956,8325.45,59964313.29
36,24,60,Cr,-46669.576,8536.205,59949898.15
35,25,60,Mn,-52967.938,8628.138,59943136.58
34,26,60,Fe,-61413.017,8755.851,59934070.41
33,27,60,Co,-61650.309,8746.766,59933815.67
32,28,60,Ni,-64473.118,8780.774,59930785.26
31,29,60,Cu,-58345.137,8665.602,59937363.92
30,30,60,Zn,-54174.34,8583.05,59941841.45
38,23,61,V,-30506.429,8276.439,60967250
37,24,61,Cr,-42475.229,8459.824,60954400.96
36,25,61,Mn,-51742.122,8598.915,60944452.54
35,26,61,Fe,-58920.494,8703.768,60936746.24
34,27,61,Co,-62898.066,8756.148,60932476.15
33,28,61,Ni,-64221.905,8765.025,60931054.95
32,29,61,Cu,-61984.059,8715.514,60933457.37
31,30,61,Zn,-56348.903,8610.309,60939506.96
30,31,61,Ga,-47134.659,8446.431,60949398.86
38,24,62,Cr,-40894.961,8428.069,61956097.45
37,25,62,Mn,-48523.957,8538.499,61947907.39
36,26,62,Fe,-58878.048,8692.882,61936791.81
35,27,62,Co,-61424.282,8721.332,61934058.32
34,28,62,Ni,-66746.323,8794.553,61928344.87
33,29,62,Cu,-62787.426,8718.081,61932594.92
32,30,62,Zn,-61167.972,8679.343,61934333.48
31,31,62,Ga,-51986.906,8518.642,61944189.76
39,24,63,Cr,-36007.474,8344.828,62961344.38
38,25,63,Mn,-46887.053,8505.101,62949664.68
37,26,63,Fe,-55635.621,8631.549,62940272.7
36,27,63,Co,-61851.44,8717.795,62933599.74
35,28,63,Ni,-65512.775,8763.493,62929669.14
34,29,63,Cu,-65579.752,8752.138,62929597.24
33,30,63,Zn,-62213.397,8686.285,62933211.17
32,31,63,Ga,-56547.093,8583.926,62939294.2
31,32,63,Ge,-46921.216,8418.716,62949628
40,24,64,Cr,-33479.757,8301.058,63964058
39,25,64,Mn,-42989.035,8437.417,63953849.37
38,26,64,Fe,-54969.544,8612.388,63940987.76
37,27,64,Co,-59792.329,8675.52,63935810.29
36,28,64,Ni,-67098.921,8777.461,63927966.34
35,29,64,Cu,-65424.545,8739.075,63929763.86
34,30,64,Zn,-66004.014,8735.905,63929141.77
33,31,64,Ga,-58832.821,8611.631,63936840.37
32,32,64,Ge,-54315.496,8528.823,63941689.91
40,25,65,Mn,-40967.339,8400.681,64956019.75
39,26,65,Fe,-51217.895,8546.346,64945015.32
38,27,65,Co,-59185.198,8656.884,64936462.07
37,28,65,Ni,-65125.685,8736.24,64930084.7
36,29,65,Cu,-67263.66,8757.096,64927789.49
35,30,65,Zn,-65912.019,8724.265,64929240.53
34,31,65,Ga,-62657.507,8662.16,64932734.4
33,32,65,Ge,-56478.216,8555.058,64939368.14
32,33,65,As,-46937.051,8396.234,64949611
41,25,66,Mn,-36750.387,8331.798,65960546.83
40,26,66,Fe,-50067.839,8521.724,65946249.96
39,27,66,Co,-56408.533,8605.941,65939442.95
38,28,66,Ni,-66006.285,8739.508,65929139.33
37,29,66,Cu,-66258.272,8731.472,65928868.81
36,30,66,Zn,-68899.16,8759.632,65926033.7
35,31,66,Ga,-63723.66,8669.361,65931589.83
34,32,66,Ge,-61607.032,8625.437,65933862.13
33,33,66,As,-52025.077,8468.403,65944148.78
41,26,67,Fe,-45610.155,8448.469,66951035.48
40,27,67,Co,-55321.775,8581.741,66940609.63
39,28,67,Ni,-63742.68,8695.75,66931569.41
38,29,67,Cu,-67319.513,8737.458,66927729.53
37,30,67,Zn,-67880.313,8734.152,66927127.48
36,31,67,Ga,-66879.048,8707.531,66928202.38
35,32,67,Ge,-62658.23,8632.857,66932733.62
34,33,67,As,-56587.225,8530.568,66939251.11
